#!/bin/bash
Namespace(contr_specificity=3, class_specificity=2, num_epochs=10)
(63,)
Batch accuracy: 0.0100
Batch accuracy: 0.0100
Batch accuracy: 0.0133
Batch accuracy: 0.0125
Batch accuracy: 0.0120
Batch accuracy: 0.0167
Batch accuracy: 0.0186
Batch accuracy: 0.0300
Batch accuracy: 0.0478
Batch accuracy: 0.0560
Batch accuracy: 0.0673
Batch accuracy: 0.0817
Batch accuracy: 0.0862
Batch accuracy: 0.0914
Batch accuracy: 0.0967
Batch accuracy: 0.0981
Batch accuracy: 0.1053
Batch accuracy: 0.1133
Batch accuracy: 0.1216
Batch accuracy: 0.1275
Batch accuracy: 0.1295
Batch accuracy: 0.1350
Batch accuracy: 0.1374
Batch accuracy: 0.1404
Batch accuracy: 0.1448
Batch accuracy: 0.1492
Batch accuracy: 0.1519
Batch accuracy: 0.1554
Batch accuracy: 0.1566
Batch accuracy: 0.1623
Batch accuracy: 0.1652
Batch accuracy: 0.1688
Batch accuracy: 0.1718
Batch accuracy: 0.1729
Batch accuracy: 0.1763
Batch accuracy: 0.1786
Batch accuracy: 0.1830
Batch accuracy: 0.1853
Batch accuracy: 0.1862
Batch accuracy: 0.1880
Batch accuracy: 0.1895
Batch accuracy: 0.1895
Batch accuracy: 0.1912
Batch accuracy: 0.1945
Batch accuracy: 0.1973
Batch accuracy: 0.1989
Batch accuracy: 0.2011
Batch accuracy: 0.2027
Batch accuracy: 0.2051
Batch accuracy: 0.2070
Batch accuracy: 0.2092
Batch accuracy: 0.2096
Batch accuracy: 0.2115
Batch accuracy: 0.2130
Batch accuracy: 0.2151
Batch accuracy: 0.2168
Batch accuracy: 0.2182
Batch accuracy: 0.2193
Batch accuracy: 0.2197
Batch accuracy: 0.2203
Batch accuracy: 0.2207
Batch accuracy: 0.2223
Batch accuracy: 0.2235
Batch accuracy: 0.2234
Batch accuracy: 0.2251
Batch accuracy: 0.2268
Batch accuracy: 0.2275
Batch accuracy: 0.2290
Batch accuracy: 0.2296
Batch accuracy: 0.2313
Batch accuracy: 0.2330
Batch accuracy: 0.2344
Batch accuracy: 0.2358
Batch accuracy: 0.2368
Batch accuracy: 0.2375
Batch accuracy: 0.2383
Batch accuracy: 0.2394
Batch accuracy: 0.2409
Batch accuracy: 0.2410
Batch accuracy: 0.2424
Batch accuracy: 0.2428
Batch accuracy: 0.2439
Batch accuracy: 0.2447
Batch accuracy: 0.2448
Batch accuracy: 0.2462
Batch accuracy: 0.2469
Batch accuracy: 0.2470
Batch accuracy: 0.2474
Batch accuracy: 0.2489
Batch accuracy: 0.2494
Batch accuracy: 0.2495
Batch accuracy: 0.2492
Batch accuracy: 0.2495
Batch accuracy: 0.2505
Batch accuracy: 0.2509
Batch accuracy: 0.2517
Batch accuracy: 0.2526
Batch accuracy: 0.2536
Batch accuracy: 0.2537
Batch accuracy: 0.2551
Batch accuracy: 0.2551
Batch accuracy: 0.2563
Batch accuracy: 0.2574
Batch accuracy: 0.2582
Batch accuracy: 0.2583
Batch accuracy: 0.2595
Batch accuracy: 0.2602
Batch accuracy: 0.2612
Batch accuracy: 0.2616
Batch accuracy: 0.2620
Batch accuracy: 0.2626
Batch accuracy: 0.2635
Batch accuracy: 0.2639
Batch accuracy: 0.2646
Batch accuracy: 0.2656
Batch accuracy: 0.2659
Batch accuracy: 0.2664
Batch accuracy: 0.2674
